Date,Sales (Rmn),Volume,ford_figo_queries_rising,golf_6_gti_queries_rising,golf_7_gti_queries_rising,gwm_queries_rising,hyundai_i10_queries_rising,hyundai_i20_queries_rising,polo_vivo_queries_rising,toyota_corolla_for_sale_queries_rising,toyota_hilux_for_sale_queries_rising,webuycars_queries_rising,audi_queries_top,autotrader_queries_top,bmw_queries_top,car_queries_top,cars_queries_top,cars_for_sale_queries_top,ford_queries_top,honda_queries_top,hyundai_queries_top,kia_queries_top,mercedes_queries_top,mercedes_benz_queries_top,nissan_queries_top,opel_queries_top,polo_queries_top,suzuki_queries_top,toyota_queries_top,vw_queries_top,webuycars_queries_top,bmw_topics_rising,hyundai_i20_topics_rising,toyota_fortuner_topics_rising,volkswagen_tiguan_topics_rising,audi_topics_top,bmw_topics_top,car_topics_top,ford_topics_top,mercedes_topics_top,toyota_topics_top,volkswagen_topics_top,volkwagen_polo_topics_top
2005-02-28,0.015977409494406854,-0.6303498182847631,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-0.992659149159676,-1.3673417654512594,-0.38863280636295794,1.4636334820330565,1.7008241319595454,-2.37271277806952,-1.590738768838526,0.8587784759137308,-1.786851638229108,-1.4436809925513074,-0.6323057838151962,-1.589759874806844,-2.3897612061759146,0.315894902465068,-1.7349983048230255,-1.3576011525423977,-1.8340102566342114,-1.4126777329699236,-0.6688550429711876,-0.38863280636295794,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-0.992659149159676,-0.38863280636295794,1.4636334820330565,-1.590738768838526,-0.6323057838151962,-1.8340102566342114,0.6563034511417406,-0.06262242910851495
2005-03-31,0.005877265077275595,-0.5644932714958646,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-0.7402213257972153,-1.2628367671065743,0.38964619047342197,2.422366183918399,1.002863708050953,-1.643912586005505,-2.073810091285338,1.1495176734018266,-1.3961686055660332,-1.2454337971144644,-0.3374600995589298,-1.589759874806844,-1.1682393383934837,0.7909744424647526,-1.3518189897820023,-0.8547616612703641,-1.5335580644210982,-1.2064356459209926,-0.6688550429711876,0.38964619047342197,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-0.7402213257972153,0.38964619047342197,2.422366183918399,-2.073810091285338,-0.3374600995589298,-1.5335580644210982,0.8121121220773996,-0.06262242910851495
2005-04-30,-0.0009418953498339482,-0.4318493073131461,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-2.086556383730339,-1.4718467637959445,0.0005066920552320182,2.3352086655651862,1.1191904453690518,-1.724890385123729,-1.880581562306613,0.9072350088284135,-1.2845448819480119,-1.1958719982552537,-0.5340238890631074,-1.589759874806844,-0.3538914265385298,1.846706753575163,-1.5707785983768727,-1.2737945706637253,-1.8340102566342114,0.031016876372593136,-0.6688550429711876,0.0005066920552320182,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-2.086556383730339,0.0005066920552320182,2.3352086655651862,-1.880581562306613,-0.5340238890631074,-1.8340102566342114,2.2143901604983305,-0.06262242910851495
2005-05-31,-0.0049910492169434086,-0.17758966407792406,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-1.5816807370054176,-1.419594264623602,0.38964619047342197,1.8122635554459083,1.2355171826871505,-1.7653792846828409,-1.3008959753704386,0.5195827455109524,-1.3403567437570225,-1.1463101993960427,-0.4357419943110186,-1.589759874806844,-1.5754132943209607,1.1604807513533961,-1.6255185005255903,-1.3576011525423977,-1.6337087951588027,0.031016876372593136,-0.6688550429711876,0.38964619047342197,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-1.5816807370054176,0.38964619047342197,1.8122635554459083,-1.3008959753704386,-0.4357419943110186,-1.6337087951588027,1.383410582174816,-0.06262242910851495
2005-06-30,-0.006781173954074411,0.02824667296731486,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-1.8341185603678782,-0.9493217720725194,-0.7777723047811479,1.7251060370926954,0.3049032841423604,-1.4414680882099455,-1.3008959753704386,0.5680392784256351,-1.5077923291840545,-1.1958719982552537,-0.4357419943110186,-1.589759874806844,-1.0664458494116145,0.8965476735757937,-1.1875992833358497,-2.19566697132912,-1.1329551414702808,-0.4845883412497343,-0.6688550429711876,-0.7777723047811479,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-1.8341185603678782,-0.7777723047811479,1.7251060370926954,-1.3008959753704386,-0.4357419943110186,-1.1329551414702808,0.448558556560862,-0.06262242910851495
2005-07-31,-0.006823246991248588,0.21783194962508126,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-0.8243672669180355,-1.3150892662789169,-0.2589196402235613,2.422366183918399,1.5844973946414467,-1.643912586005505,-0.2381390659874519,1.0526046075724613,-2.121722809083172,-0.8489394062407782,0.05566747944942529,-1.589759874806844,-0.04851095959292206,1.1076941357978756,-0.5307204575512385,-0.6033419156343475,-1.0328044107325765,0.44350105047045507,-0.6688550429711876,-0.2589196402235613,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-0.8243672669180355,-0.2589196402235613,2.422366183918399,-0.2381390659874519,0.05566747944942529,-1.0328044107325765,1.8508365949817929,-0.06262242910851495
2005-08-31,-0.0056282457584875545,0.231684627980322,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-1.5816807370054176,-0.8970692729001769,-1.166911803199338,1.4636334820330565,1.3518439200052492,-1.5629347868872814,-0.9144389174129889,1.0526046075724613,-1.9542872236561402,-2.4844787685947334,-1.12371525757564,-1.589759874806844,-1.0664458494116145,1.8994933691306832,-1.5707785983768727,-1.189987988785053,-1.233105872207985,-0.7939514718231307,-0.6688550429711876,-1.166911803199338,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-1.5816807370054176,-1.166911803199338,1.4636334820330565,-0.9144389174129889,-1.12371525757564,-1.233105872207985,1.5911554767556946,-0.06262242910851495
2005-09-30,-0.003707147685813035,0.43934713458931623,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-1.1609510314013165,-1.0015742712448619,-0.2589196402235613,2.1608936288587604,1.3518439200052492,-1.5224458873281694,-0.6245961239449016,1.101061140487144,-1.6752279146110867,-1.4436809925513074,-1.12371525757564,-1.589759874806844,-0.7610653824660067,0.2631082869095475,-1.40655889193072,0.23472390315237499,-1.233105872207985,-0.5877093847741998,-0.6688550429711876,-0.2589196402235613,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-1.1609510314013165,-0.2589196402235613,2.1608936288587604,-0.6245961239449016,-1.12371525757564,-1.233105872207985,1.4353468058200356,-0.06262242910851495
2005-10-31,-0.0033136637800065807,0.5352902565754082,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-1.9182645014886983,-0.5313017786937794,0.9084988550310086,2.7709962573312508,2.049804343913842,-1.198534690855274,-0.8178246529236265,1.6340830025486528,-1.3403567437570225,-1.096748400536832,-1.2219971523277289,-1.589759874806844,0.8676304412439011,1.4772004446865192,-1.1328593811871321,-1.189987988785053,-1.6337087951588027,0.2372589634215241,-0.6688550429711876,0.9084988550310086,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-1.9182645014886983,0.9084988550310086,2.7709962573312508,-0.8178246529236265,-1.2219971523277289,-1.6337087951588027,2.5260075023696484,-0.06262242910851495
2005-11-30,-0.0017282868454638624,0.598894973345997,-1.3944078278269272,-1.5580855453550144,-1.1691424660713081,-1.5608301154394137,-1.3506559143871022,-1.57735289795855,-1.442817617377155,-1.4042148917087276,-1.2948983375961405,-0.6474864840186876,-0.4877835024347547,-0.7925642745554919,-0.38863280636295794,2.596681220624825,0.18857654682426164,-1.3604902890917216,-0.7212103884342641,0.9556915417430961,-1.3961686055660332,-1.1463101993960427,0.35051316370569163,-1.589759874806844,0.3586629963345549,1.2132673669089167,-1.1875992833358497,1.240402885696442,-0.131447834093237,0.3403800069459896,-0.6688550429711876,-0.38863280636295794,-1.57735289795855,-2.142005411315607,-1.1948192212056512,-0.4877835024347547,-0.38863280636295794,2.596681220624825,-0.7212103884342641,0.35051316370569163,-0.131447834093237,2.2143901604983305,-0.06262242910851495
